kreis,zone,personen,arbeidsinzet,overlijden,medisch,huwelijk,geboorte,lat,lon,top_herkomst_nl
Grossenhain,Russische,19,19,0,0,0,0,51.29118,13.53172,Maastricht (4); Delft (2); Amsterdam (2)
Kirchheimbolanden,Franse,19,19,0,0,0,0,49.66443,8.01074,Amsterdam (3); Sappemeer (1); Krommenie (1)
Lobau,Russische,19,19,0,0,0,0,51.09473,14.66924,Kerkrade (2); Rotterdam (1); 's-Gravenhage (1)
Rathenow,Russische,18,18,0,0,0,0,52.60637,12.33823,Rotterdam (4); Utrecht (2); Amsterdam (1)
Vohenstrauss,Amerikaanse,18,18,0,0,0,0,49.62383,12.34144,Losser (10); Amsterdam (4); Veenendaal (1)
Eisenach,Russische,16,16,0,0,0,0,50.97471,10.31936,
Sangerhausen,Russische,16,16,0,0,0,0,51.47298,11.29819,Aalsmeer (4); Dirksland (1); Rotterdam (1)
Stadtroda,Russische,16,16,0,0,0,0,50.85827,11.72636,Dongen (3); Eindhoven (2); Amsterdam (1)
Prüm,Franse,16,16,0,0,0,0,50.20695,6.4249,
Anklam,Russische,16,16,0,0,0,0,53.85605,13.68809,Amsterdam (1); Muntendam (1)
Meerane,Russische,15,15,0,0,0,0,50.84278,12.45816,Rotterdam (4); Weert (3); Loon op Zand (1)
Eisleben,Russische,14,14,0,0,0,0,51.52833,11.54659,Ameide (2); Wijlre (1); Amsterdam (1)
Reichenbach,Russische,13,13,0,0,0,0,50.62005,12.29927,Oldebroek (3); Helmond (2); Amsterdam (1)
Wismar,Russische,13,13,0,0,0,0,53.89098,11.46479,Hillegom (4)
Riedenburg,Amerikaanse,12,12,0,0,0,0,48.9717,11.69272,
Beeskow-Storkow,Russische,11,11,0,0,0,0,52.17216,14.24711,Vlijmen (3); Krommenie (1); Rotterdam (1)
Wittenau,Russische,11,11,0,0,0,0,52.59124,13.32332,Vlodrop (5)
Demmin,Russische,10,10,0,0,0,0,53.907,13.03278,
Cottbus,Russische,9,9,0,0,0,0,51.75674,14.33573,'s-Gravenhage (2); Rotterdam (1)
Schleiz,Russische,9,9,0,0,0,0,50.55905,11.804,Rotterdam (2)
Kamenz,Russische,9,9,0,0,0,0,51.27014,14.09486,'s-Gravenhage (3)
Wolfstein,Amerikaanse,9,9,0,0,0,0,49.58299,7.60653,Rotterdam (5); Amsterdam (1)
Riesa,Russische,8,8,0,0,0,0,51.30382,13.30883,Amsterdam (2)
